region_id,province_name,region_name,demand_codes,note
27260,대구광역시,수성구,27260,
27290,대구광역시,달서구,27290,
27710,대구광역시,달성군,27710,
27720,대구광역시,군위군,27720,
28125,인천광역시,제물포구,28125,
28155,인천광역시,영종구,28155,
28177,인천광역시,미추홀구,28177,
28185,인천광역시,연수구,28185,
28200,인천광역시,남동구,28200,
28237,인천광역시,부평구,28237,
28245,인천광역시,계양구,28245,
28275,인천광역시,서해구,28275,
28290,인천광역시,검단구,28290,
28710,인천광역시,강화군,28710,
28720,인천광역시,옹진군,28720,
30110,대전광역시,동구,30110,
30140,대전광역시,중구,30140,
30170,대전광역시,서구,30170,
30200,대전광역시,유성구,30200,
30230,대전광역시,대덕구,30230,
31110,울산광역시,중구,31110,
31140,울산광역시,남구,31140,
31170,울산광역시,동구,31170,
31200,울산광역시,북구,31200,
31710,울산광역시,울주군,31710,
36110,세종특별자치시,세종특별자치시,36110,
41110,경기도,수원시,41111;41113;41115;41117,일반구 단위 공표. 구 코드 평균을 사용
41130,경기도,성남시,41131;41133;41135,일반구 단위 공표. 구 코드 평균을 사용
41150,경기도,의정부시,41150,
41170,경기도,안양시,41171;41173,일반구 단위 공표. 구 코드 평균을 사용
41190,경기도,부천시,41192;41194;41196,일반구 단위 공표. 구 코드 평균을 사용
41210,경기도,광명시,41210,
41220,경기도,평택시,41220,
41250,경기도,동두천시,41250,
41270,경기도,안산시,41271;41273,일반구 단위 공표. 구 코드 평균을 사용
41280,경기도,고양시,41281;41285;41287,일반구 단위 공표. 구 코드 평균을 사용
41290,경기도,과천시,41290,
41310,경기도,구리시,41310,
41360,경기도,남양주시,41360,
41370,경기도,오산시,41370,
41390,경기도,시흥시,41390,
41410,경기도,군포시,41410,
41430,경기도,의왕시,41430,
41450,경기도,하남시,41450,
41460,경기도,용인시,41461;41463;41465,일반구 단위 공표. 구 코드 평균을 사용
41480,경기도,파주시,41480,
41500,경기도,이천시,41500,
41550,경기도,안성시,41550,
41570,경기도,김포시,41570,
41590,경기도,화성시,41591;41593;41595;41597,일반구 단위 공표. 구 코드 평균을 사용
41610,경기도,광주시,41610,
41630,경기도,양주시,41630,
41650,경기도,포천시,41650,
41670,경기도,여주시,41670,
41800,경기도,연천군,41800,
41820,경기도,가평군,41820,
41830,경기도,양평군,41830,
43110,충청북도,청주시,43111;43112;43113;43114,일반구 단위 공표. 구 코드 평균을 사용
43130,충청북도,충주시,43130,
43150,충청북도,제천시,43150,
43720,충청북도,보은군,43720,
43730,충청북도,옥천군,43730,
43740,충청북도,영동군,43740,
43745,충청북도,증평군,43745,
43750,충청북도,진천군,43750,
43760,충청북도,괴산군,43760,
43770,충청북도,음성군,43770,
43800,충청북도,단양군,43800,
44130,충청남도,천안시,44131;44133,일반구 단위 공표. 구 코드 평균을 사용
44150,충청남도,공주시,44150,
44180,충청남도,보령시,44180,
44200,충청남도,아산시,44200,
44210,충청남도,서산시,44210,
44230,충청남도,논산시,44230,
44250,충청남도,계룡시,44250,
44270,충청남도,당진시,44270,
44710,충청남도,금산군,44710,
44760,충청남도,부여군,44760,
44770,충청남도,서천군,44770,
44790,충청남도,청양군,44790,
44800,충청남도,홍성군,44800,
44810,충청남도,예산군,44810,
44825,충청남도,태안군,44825,
47110,경상북도,포항시,47111;47113,일반구 단위 공표. 구 코드 평균을 사용
47130,경상북도,경주시,47130,
47150,경상북도,김천시,47150,
47170,경상북도,안동시,47170,
47190,경상북도,구미시,47190,
47210,경상북도,영주시,47210,
47230,경상북도,영천시,47230,
47250,경상북도,상주시,47250,
47280,경상북도,문경시,47280,
47290,경상북도,경산시,47290,
47730,경상북도,의성군,47730,
47750,경상북도,청송군,47750,
47760,경상북도,영양군,47760,
47770,경상북도,영덕군,47770,
47820,경상북도,청도군,47820,
47830,경상북도,고령군,47830,
47840,경상북도,성주군,47840,
47850,경상북도,칠곡군,47850,
47900,경상북도,예천군,47900,
47920,경상북도,봉화군,47920,
47930,경상북도,울진군,47930,
47940,경상북도,울릉군,47940,
48120,경상남도,창원시,48121;48123;48125;48127;48129,일반구 단위 공표. 구 코드 평균을 사용
48170,경상남도,진주시,48170,
48220,경상남도,통영시,48220,
48240,경상남도,사천시,48240,
48250,경상남도,김해시,48250,
48270,경상남도,밀양시,48270,
48310,경상남도,거제시,48310,
48330,경상남도,양산시,48330,
48720,경상남도,의령군,48720,
48730,경상남도,함안군,48730,
48740,경상남도,창녕군,48740,
48820,경상남도,고성군,48820,
48840,경상남도,남해군,48840,
48850,경상남도,하동군,48850,
48860,경상남도,산청군,48860,
48870,경상남도,함양군,48870,
48880,경상남도,거창군,48880,
48890,경상남도,합천군,48890,
50110,제주특별자치도,제주시,50110,
50130,제주특별자치도,서귀포시,50130,
51110,강원특별자치도,춘천시,51110,
51130,강원특별자치도,원주시,51130,
51150,강원특별자치도,강릉시,51150,
51170,강원특별자치도,동해시,51170,
51190,강원특별자치도,태백시,51190,
51210,강원특별자치도,속초시,51210,
51230,강원특별자치도,삼척시,51230,
51720,강원특별자치도,홍천군,51720,
51730,강원특별자치도,횡성군,51730,
51750,강원특별자치도,영월군,51750,
51760,강원특별자치도,평창군,51760,
51770,강원특별자치도,정선군,51770,
51780,강원특별자치도,철원군,51780,
51790,강원특별자치도,화천군,51790,
51800,강원특별자치도,양구군,51800,
51810,강원특별자치도,인제군,51810,
51820,강원특별자치도,고성군,51820,
51830,강원특별자치도,양양군,51830,
52110,전북특별자치도,전주시,52111;52113,일반구 단위 공표. 구 코드 평균을 사용
52130,전북특별자치도,군산시,52130,
52140,전북특별자치도,익산시,52140,
52180,전북특별자치도,정읍시,52180,
52190,전북특별자치도,남원시,52190,
52210,전북특별자치도,김제시,52210,
52710,전북특별자치도,완주군,52710,
52720,전북특별자치도,진안군,52720,
52730,전북특별자치도,무주군,52730,
52740,전북특별자치도,장수군,52740,
52750,전북특별자치도,임실군,52750,
52770,전북특별자치도,순창군,52770,
52790,전북특별자치도,고창군,52790,
52800,전북특별자치도,부안군,52800,
